id,imdb_id,original_title,title,genres,release_date,budget,revenue,popularity,vote_average,vote_count,runtime
469284,tt7910444,Гоголь. Вий,Gogol. Viy,"[{'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",2018-04-05,0,7471349,7.895,6.6,54,99
94352,tt1792647,Cirque du Soleil: Worlds Away,Cirque du Soleil: Worlds Away,"[{'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]",2012-11-09,0,34153101,7.896,7.0,130,91
412361,tt4579914,Nitro Rush,Nitro Rush,"[{'id': 28, 'name': 'Action'}]",2016-08-31,0,0,7.896,5.8,18,96
542830,tt8201404,Nous finirons ensemble,Little White Lies 2,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2019-05-01,0,0,7.899,6.8,538,135
636698,tt9646240,L'uomo senza gravità,The Man Without Gravity,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2019-10-21,0,0,7.899,7.4,201,107
510298,tt1780967,Seberg,Seberg,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",2019-12-13,8000000,592565,7.9,6.0,128,103
538227,tt8233874,Extra Ordinary,Extra Ordinary,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",2019-09-13,0,0,7.903,6.5,119,94
574321,tt10409498,Seules les Bêtes,Only the Animals,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",2019-12-04,5000000,0,7.903,6.6,125,116
503706,tt7976208,The Haunting of Sharon Tate,The Haunting of Sharon Tate,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2019-04-05,0,68904,7.904,4.6,139,94
444431,tt6896536,פוקסטרוט,Foxtrot,"[{'id': 18, 'name': 'Drama'}]",2017-09-02,0,0,7.907,6.8,145,113
399905,tt6892018,여자전쟁: 비열한 거래,Female War: A Nasty Deal,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2015-09-27,0,0,7.86,3.7,8,110
536228,tt6176162,El jugador,El jugador,"[{'id': 18, 'name': 'Drama'}]",2016-11-17,0,0,7.86,5.6,4,105
352498,tt4262174,First Girl I Loved,First Girl I Loved,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2016-10-18,0,0,7.861,6.5,107,91
399131,tt3458510,Dude,Dude,"[{'id': 35, 'name': 'Comedy'}]",2018-04-20,0,0,7.861,5.6,670,90
425980,tt5884230,Brad's Status,Brad's Status,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2017-09-14,0,2400000,7.861,6.2,261,101
300467,tt2251281,Dark Was the Night,Dark Was the Night,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2014-10-17,0,0,7.863,5.6,178,97
435129,tt3901826,The Breadwinner,The Breadwinner,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}]",2017-11-17,0,312381,7.863,7.8,501,94
758622,tt8686240,Deadpool The Musical 2 - Ultimate Disney Parody,Deadpool The Musical 2 - Ultimate Disney Parody,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",2018-07-10,0,0,7.864,7.0,2,12
368182,tt4992060,Compulsion,Compulsion,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",2016-11-19,0,0,7.865,4.8,40,92
486072,tt7139246,Leo Da Vinci: Mission Mona Lisa,Leo Da Vinci: Mission Mona Lisa,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",2018-01-11,0,0,7.867,5.6,55,85
256924,tt1772288,Danny Collins,Danny Collins,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2015-03-19,10000000,10835752,7.868,6.8,375,107
338928,tt3065132,He Named Me Malala,He Named Me Malala,"[{'id': 99, 'name': 'Documentary'}]",2015-09-12,0,2642899,7.869,6.7,133,87
535692,tt7605922,Mi obra maestra,My Masterpiece,"[{'id': 35, 'name': 'Comedy'}]",2018-08-14,0,0,7.873,7.4,114,100
536176,tt8425058,Brexit: The Uncivil War,Brexit: The Uncivil War,"[{'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]",2019-01-19,0,0,7.873,6.5,196,93
460962,tt6874406,Alien Convergence,Alien Convergence,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2017-06-27,0,0,7.876,4.1,34,86
